,Plate number,Image,Rendered plate image
0,AES-160,https://img03.platesmania.com/220917/o/19954113.jpg,https://img03.platesmania.com/220917/inf/19954113fe853c.png
1,AEC-716,http://img03.platesmania.com/211127/o/18036577.jpg,http://img03.platesmania.com/211127/inf/180365771a9d7a.png
2,GKA-550,http://img03.platesmania.com/220111/o/18289822.jpg,http://img03.platesmania.com/220111/inf/18289822261f45.png
3,MA 00-03,http://img03.platesmania.com/220131/o/18406598.jpg,http://img03.platesmania.com/220131/inf/18406598940f72.png
4,DKG-970,https://img03.platesmania.com/230114/o/20699107.jpg,https://img03.platesmania.com/230114/inf/2069910771a4c6.png
5,MLF-306,https://img03.platesmania.com/230123/o/20756508.jpg,https://img03.platesmania.com/230125/inf/20756508e969da.png
6,EEK-983,https://img03.platesmania.com/230219/o/20920396.jpg,https://img03.platesmania.com/230219/inf/20920396132138.png
7,LHT-513,http://img03.platesmania.com/220118/o/18333413.jpg,http://img03.platesmania.com/220118/inf/1833341375e6bd.png
8,SRZ-150,https://img03.platesmania.com/221129/o/20444319.jpg,https://img03.platesmania.com/221129/inf/20444319876e3d.png
9,TDR-438,https://img03.platesmania.com/221021/o/20182419.jpg,https://img03.platesmania.com/221021/inf/20182419b518c3.png
10,FBR-017,http://img03.platesmania.com/220415/o/18864110.jpg,http://img03.platesmania.com/220415/inf/188641103328eb.png
11,EHZ-535,https://img03.platesmania.com/220829/o/19822065.jpg,https://img03.platesmania.com/220829/inf/198220650e926c.png
12,SMK-934,http://img03.platesmania.com/211020/o/17788802.jpg,http://img03.platesmania.com/211020/inf/17788802cb0f37.png
13,RNP-144,http://img03.platesmania.com/220125/o/18368337.jpg,http://img03.platesmania.com/220125/inf/18368337a2ccde.png
14,HBL-667,http://img03.platesmania.com/211120/o/17996129.jpg,http://img03.platesmania.com/211120/inf/17996129abfdf5.png
15,EUU-690,http://img03.platesmania.com/211008/o/17707999.jpg,http://img03.platesmania.com/211008/inf/177079994fe899.png
16,EDK-299,https://img03.platesmania.com/230422/o/21371560.jpg,https://img03.platesmania.com/230422/inf/2137156023ead2.png
17,UPJ-107,https://img03.platesmania.com/221225/o/20586098.jpg,https://img03.platesmania.com/221225/inf/20586098d6587f.png
18,DJD-733,https://img03.platesmania.com/220730/o/19612237.jpg,https://img03.platesmania.com/220730/inf/196122375aca0f.png
19,SEF-382,http://img03.platesmania.com/220615/o/19298490.jpg,http://img03.platesmania.com/220615/inf/192984901e7812.png
20,RED-827,https://img03.platesmania.com/221030/o/20250241.jpg,https://img03.platesmania.com/221030/inf/20250241199522.png
21,GSU-631,http://img03.platesmania.com/210925/o/17618601.jpg,http://img03.platesmania.com/210925/inf/176186013f6955.png
22,IDP-267,https://img03.platesmania.com/220707/o/19452583.jpg,https://img03.platesmania.com/220707/inf/19452583809a81.png
23,NJB-867,https://img03.platesmania.com/220821/o/19760452.jpg,https://img03.platesmania.com/220821/inf/19760452b173b9.png
24,ETV-317,https://img03.platesmania.com/221228/o/20602661.jpg,https://img03.platesmania.com/221228/inf/20602661c6539c.png
25,SEF-386,https://img03.platesmania.com/221112/o/20345727.jpg,https://img03.platesmania.com/221112/inf/20345727f2c481.png
26,MIP-794,https://img03.platesmania.com/220928/o/20033759.jpg,https://img03.platesmania.com/220928/inf/20033759708c61.png
27,EMW-093,https://img03.platesmania.com/230103/o/20635916.jpg,https://img03.platesmania.com/230103/inf/20635916e4caa7.png
28,BRB-141,http://img03.platesmania.com/220601/o/19207646.jpg,http://img03.platesmania.com/220601/inf/19207646265326.png
29,LJT-637,http://img03.platesmania.com/211217/o/18143018.jpg,http://img03.platesmania.com/211217/inf/18143018c7bd90.png
30,GGF-275,https://img03.platesmania.com/220810/o/19685043.jpg,https://img03.platesmania.com/220810/inf/19685043189f7b.png
31,IIK-970,http://img03.platesmania.com/211109/o/17925281.jpg,http://img03.platesmania.com/211109/inf/179252813ffbaa.png
32,AA IY-793,https://img03.platesmania.com/230315/o/21081128.jpg,https://img03.platesmania.com/230315/inf/21081128a9b010.png
33,SSF-465,https://img03.platesmania.com/230311/o/21055458.jpg,https://img03.platesmania.com/230311/inf/210554585c0e40.png
34,P-06269 21,http://img03.platesmania.com/220625/o/19366747.jpg,http://img03.platesmania.com/220625/inf/1936674700dfc6.png
35,EZA-509,http://img03.platesmania.com/211025/o/17829181.jpg,http://img03.platesmania.com/211025/inf/178291810b7590.png
36,XVK-889,http://img03.platesmania.com/211201/o/18057133.jpg,http://img03.platesmania.com/211201/inf/18057133a03801.png
37,BPI-254,https://img03.platesmania.com/221217/o/20539855.jpg,https://img03.platesmania.com/221217/inf/20539855f3e827.png
38,P-06723 21,https://img03.platesmania.com/230112/o/20691318.jpg,https://img03.platesmania.com/230112/inf/20691318b1aeb0.png
39,BGP-418,http://img03.platesmania.com/220605/o/19233389.jpg,http://img03.platesmania.com/220605/inf/1923338914b553.png
40,JDS-527,https://img03.platesmania.com/220731/o/19619027.jpg,https://img03.platesmania.com/220731/inf/19619027c61209.png
41,EPR-234,https://img03.platesmania.com/221011/o/20119965.jpg,https://img03.platesmania.com/221011/inf/2011996579543a.png
42,KGV-725,http://img03.platesmania.com/220423/o/18927117.jpg,http://img03.platesmania.com/220423/inf/18927117cc9d2d.png
43,HDH-614,https://img03.platesmania.com/220913/o/19928613.jpg,https://img03.platesmania.com/220913/inf/19928613f0392a.png
44,DPY-626,http://img03.platesmania.com/210920/o/17581724.jpg,http://img03.platesmania.com/210920/inf/17581724a51dcb.png
45,MYR-148,https://img03.platesmania.com/230318/o/21108493.jpg,https://img03.platesmania.com/230318/inf/21108493988405.png
46,KTL-413,https://img03.platesmania.com/220924/o/20003108.jpg,https://img03.platesmania.com/220924/inf/20003108027810.png
47,PVT-790,https://img03.platesmania.com/221101/o/20267475.jpg,https://img03.platesmania.com/221101/inf/202674755da18a.png
48,TAA-389,https://img03.platesmania.com/221202/o/20460514.jpg,https://img03.platesmania.com/221202/inf/204605141515a3.png
49,AYA-453,https://img03.platesmania.com/230110/o/20680287.jpg,https://img03.platesmania.com/230110/inf/206802871f50ec.png
50,STP-804,https://img03.platesmania.com/221022/o/20192354.jpg,https://img03.platesmania.com/221022/inf/20192354f200a5.png
51,JLD-541,http://img03.platesmania.com/220222/o/18546011.jpg,http://img03.platesmania.com/220222/inf/1854601123c74a.png
52,ADU-830,https://img03.platesmania.com/230330/o/21190875.jpg,https://img03.platesmania.com/230330/inf/21190875c5501f.png
53,NDN-385,https://img03.platesmania.com/220804/o/19644632.jpg,https://img03.platesmania.com/220804/inf/19644632de0d85.png
54,WBT-786,http://img03.platesmania.com/220513/o/19069853.jpg,http://img03.platesmania.com/220513/inf/19069853859153.png
55,OT 02-64,https://img03.platesmania.com/230430/o/21436985.jpg,https://img03.platesmania.com/230430/inf/21436985ee3f87.png
56,SH OP-002,https://img03.platesmania.com/221018/o/20168213.jpg,https://img03.platesmania.com/221018/inf/20168213b0a455.png
57,HS 40-49,http://img03.platesmania.com/220510/o/19049668.jpg,http://img03.platesmania.com/220510/inf/19049668fd1aec.png
58,HLD-250,http://img03.platesmania.com/220610/o/19262507.jpg,http://img03.platesmania.com/220610/inf/1926250715cea1.png
59,HBT-943,http://img03.platesmania.com/220125/o/18370622.jpg,http://img03.platesmania.com/220125/inf/183706225408d5.png
60,PHZ-722,https://img03.platesmania.com/220921/o/19986461.jpg,https://img03.platesmania.com/220921/inf/1998646117d072.png
61,RMP-704,https://img03.platesmania.com/230408/o/21260577.jpg,https://img03.platesmania.com/230408/inf/21260577fcc474.png
62,SLE-070,https://img03.platesmania.com/220630/o/19402159.jpg,https://img03.platesmania.com/220630/inf/19402159adf9d3.png
63,NFC-953,http://img03.platesmania.com/220207/o/18450287.jpg,http://img03.platesmania.com/220207/inf/18450287bfee9a.png
64,AKD-612,http://img03.platesmania.com/220201/o/18413096.jpg,http://img03.platesmania.com/220201/inf/184130964c9469.png
65,TDY-882,http://img03.platesmania.com/220525/o/19157795.jpg,http://img03.platesmania.com/220525/inf/191577955b6800.png
66,SDH-996,https://img03.platesmania.com/221220/o/20558345.jpg,https://img03.platesmania.com/221220/inf/205583450cc8ab.png
67,OT 46-91,https://img03.platesmania.com/220921/o/19985027.jpg,https://img03.platesmania.com/220921/inf/199850279618a1.png
68,CXB-991,http://img03.platesmania.com/220423/o/18927860.jpg,http://img03.platesmania.com/220423/inf/189278603349c8.png
69,SDZ-103,https://img03.platesmania.com/221117/o/20372562.jpg,https://img03.platesmania.com/221117/inf/203725625142f4.png
70,NHA-357,http://img03.platesmania.com/211015/o/17755656.jpg,http://img03.platesmania.com/211015/inf/17755656417d9b.png
71,HEC-240,http://img03.platesmania.com/220406/o/18801506.jpg,http://img03.platesmania.com/220406/inf/1880150624c47c.png
72,IXA-357,https://img03.platesmania.com/230404/o/21230049.jpg,https://img03.platesmania.com/230404/inf/212300495879e5.png
73,UJG-254,https://img03.platesmania.com/220808/o/19673694.jpg,https://img03.platesmania.com/220808/inf/196736948e15f6.png
74,MOJ-739,https://img03.platesmania.com/220731/o/19618900.jpg,https://img03.platesmania.com/220731/inf/19618900772ac6.png
75,AA CC-664,https://img03.platesmania.com/230428/o/21418118.jpg,https://img03.platesmania.com/230428/inf/2141811808be5c.png
76,LLV-471,https://img03.platesmania.com/220701/o/19412035.jpg,https://img03.platesmania.com/220701/inf/19412035d976e6.png
77,GDB-707,http://img03.platesmania.com/220606/o/19237785.jpg,http://img03.platesmania.com/220606/inf/192377852d83c8.png
78,JTM-527,http://img03.platesmania.com/220527/o/19168069.jpg,http://img03.platesmania.com/220527/inf/19168069f33c7e.png
79,MMP-146,https://img03.platesmania.com/230331/o/21195011.jpg,https://img03.platesmania.com/230331/inf/21195011eec706.png
80,SFN-798,https://img03.platesmania.com/230325/o/21152469.jpg,https://img03.platesmania.com/230325/inf/211524699edb3b.png
