Unnamed: 0,Plate number,Image,Rendered plate image
0,AES-160,19954113.jpg,https://img03.platesmania.com/220917/inf/19954113fe853c.png
1,AEC-716,18036577.jpg,http://img03.platesmania.com/211127/inf/180365771a9d7a.png
2,GKA-550,18289822.jpg,http://img03.platesmania.com/220111/inf/18289822261f45.png
3,MA 00-03,18406598.jpg,http://img03.platesmania.com/220131/inf/18406598940f72.png
4,DKG-970,20699107.jpg,https://img03.platesmania.com/230114/inf/2069910771a4c6.png
5,MLF-306,20756508.jpg,https://img03.platesmania.com/230125/inf/20756508e969da.png
6,EEK-983,20920396.jpg,https://img03.platesmania.com/230219/inf/20920396132138.png
7,LHT-513,18333413.jpg,http://img03.platesmania.com/220118/inf/1833341375e6bd.png
8,SRZ-150,20444319.jpg,https://img03.platesmania.com/221129/inf/20444319876e3d.png
9,TDR-438,20182419.jpg,https://img03.platesmania.com/221021/inf/20182419b518c3.png
10,FBR-017,18864110.jpg,http://img03.platesmania.com/220415/inf/188641103328eb.png
11,EHZ-535,19822065.jpg,https://img03.platesmania.com/220829/inf/198220650e926c.png
12,SMK-934,17788802.jpg,http://img03.platesmania.com/211020/inf/17788802cb0f37.png
13,RNP-144,18368337.jpg,http://img03.platesmania.com/220125/inf/18368337a2ccde.png
14,HBL-667,17996129.jpg,http://img03.platesmania.com/211120/inf/17996129abfdf5.png
15,EUU-690,17707999.jpg,http://img03.platesmania.com/211008/inf/177079994fe899.png
16,EDK-299,21371560.jpg,https://img03.platesmania.com/230422/inf/2137156023ead2.png
17,UPJ-107,20586098.jpg,https://img03.platesmania.com/221225/inf/20586098d6587f.png
18,DJD-733,19612237.jpg,https://img03.platesmania.com/220730/inf/196122375aca0f.png
19,SEF-382,19298490.jpg,http://img03.platesmania.com/220615/inf/192984901e7812.png
20,RED-827,20250241.jpg,https://img03.platesmania.com/221030/inf/20250241199522.png
21,GSU-631,17618601.jpg,http://img03.platesmania.com/210925/inf/176186013f6955.png
22,IDP-267,19452583.jpg,https://img03.platesmania.com/220707/inf/19452583809a81.png
23,NJB-867,19760452.jpg,https://img03.platesmania.com/220821/inf/19760452b173b9.png
24,ETV-317,20602661.jpg,https://img03.platesmania.com/221228/inf/20602661c6539c.png
25,SEF-386,20345727.jpg,https://img03.platesmania.com/221112/inf/20345727f2c481.png
26,MIP-794,20033759.jpg,https://img03.platesmania.com/220928/inf/20033759708c61.png
27,EMW-093,20635916.jpg,https://img03.platesmania.com/230103/inf/20635916e4caa7.png
28,BRB-141,19207646.jpg,http://img03.platesmania.com/220601/inf/19207646265326.png
